Fold,Accuracy,Recall,Specificity,Precision,F1,AUC
1,0.5555555555555556,1.0,0.0,0.5555555555555556,0.7142857142857143,0.5
2,0.6666666666666666,1.0,0.0,0.6666666666666666,0.8,0.5
3,0.4444444444444444,1.0,0.0,0.4444444444444444,0.6153846153846153,0.5
4,0.5,1.0,0.0,0.5,0.6666666666666666,0.5
5,0.5,1.0,0.0,0.5,0.6666666666666666,0.5
6,0.625,1.0,0.0,0.625,0.7692307692307693,0.5
7,0.625,1.0,0.0,0.625,0.7692307692307693,0.5
8,0.5,0.0,1.0,0.0,0.0,0.5
9,0.625,0.6,0.6666666666666666,0.75,0.6666666666666665,0.6333333333333334
10,0.625,1.0,0.0,0.625,0.7692307692307693,0.5
